text,scenario,label
button,play,48
menu,play,48
what day of the week is the twenty second march,datetime,13
twenty ninth march comes on what day,datetime,13
what day of the week is first april,datetime,13
what's my next alarm,alarm,0
please tell me my alarms,alarm,0
what time will my alarm go off today,alarm,0
can you tell me the time,datetime,13
what is the current time,datetime,13
play the track eight from google play music,play,48
play the second song from anirudh's song,play,48
play a song randomly from my playlist,play,48
what is the current date,datetime,13
is it Monday today,datetime,13
switch off the lights,iot,33
can you please switch off the lights,iot,33
i want the light switched off can you do it for me,iot,33
go to menu,play,48
choose that music player,play,48
play the song,play,48
please play games by disturbed,play,48
please open my music application and play games by disturbed,play,48
please play the song games by disturbed,play,48
turn off the light in the living room,iot,33
turn the security light off,iot,33
turn off the garage light,iot,33
turn the smart plug on,iot,37
switch the smart plug socket,iot,37
play a random song from my playlist,play,48
play a song from my favourites,play,48
play a retro song in my playlist,play,48
play why do you sing by kirk franklin,play,48
play any song by joe prsaise,play,48
play every praise,play,48
remove the first alarm,alarm,1
disable the first alarm,alarm,1
delete the first alarm,alarm,1
play some slow,play,48
start playing,play,48
music please,play,48
can you change the light colors in the house,iot,31
can you shuffle the light colors in the house,iot,31
can you change the light colors into dark in the house,iot,31
play my r and b playlist,play,48
i would like to listen to pop music please,play,48
can you play rock music for the next hour,play,48
what alarms do i have set,alarm,0
read me my alarms,alarm,0
what time are my alarms set for,alarm,0
change my room lights to blue,iot,31
change my room lights to some romantic colour,iot,31
change my room lights so that i can get a good sleep,iot,31
turn on the plug socket one,iot,37
turn off the lights in the bathroom,iot,33
turn off the bathroom lights,iot,33
lights off bathroom,iot,33
what day is it today,datetime,13
what day of the month is next tuesday,datetime,13
play bad religion folder,play,48
open bad religion folder,play,48
play all albums by bad religion,play,48
play metallica,play,48
play old fashioned christmas music,play,48
what is today's date,datetime,13
what is the date and time,datetime,13
fix the lights in the living room to red,iot,31
change the bedroom lights to green,iot,31
thumbs down,music,41
i don't like this band,music,41
i want to listen to rock music,play,48
i want to listen classical music,play,48
i want to listen jazz,play,48
what day is it,datetime,13
tell me the date and the time,datetime,13
what's the date,datetime,13
turn off light,iot,33
turn off lamp,iot,33
lights out,iot,34
play songs by sia,play,48
play the weekend,play,48
open songs by prince,play,48
what mistakes do you usually make,general,27
what things can't you do,general,27
tell me the hour,datetime,13
what time is it in the other time zones,datetime,13
what time zone is arizona,datetime,13
what time is it in the east,datetime,13
what is the name of song,music,43
who is the singer of song,music,43
what is the length of song,music,43
what time is it in new york city,datetime,13
what is the time in india right now,datetime,13
what time is it right now in australia,datetime,13
select the music player,play,48
change the light color to blue,iot,31
confirm whether the color is blue,iot,31
change the light color to red,iot,31
what time is it in des moines,datetime,13
whats the time in denver,datetime,13
hows the time in key largo,datetime,13
silence please,audio,4
speakers off,audio,4
quiet please,audio,4
play tonic,play,48
play songs by adele,play,48
open songs from major lazer,play,48
confirm the alarm time,alarm,0
what alarms are set,alarm,0
which alarms do i have,alarm,0
do i have an alarm set,alarm,0
can you mute when i am not home,audio,4
mute yourself when i am in a meeting,audio,4
mute for the next hour please,audio,4
play neverland by metallica,play,48
play my favorite song,play,48
play my most played songs,play,48
whats the time,datetime,13
what time is it right now,datetime,13
give me the time,datetime,13
it is already late,general,27
by switch off,iot,33
by remote sensor,iot,33
by main power off,iot,33
search the album name with katy perry,music,43
play the song sung by katy perry,play,48
play the song immediately,play,48
choose music player,play,48
what song is playing,music,43
who is singing this song,music,43
email me the lyrics to this song,music,43
turn the lights off in the living room,iot,33
please set the lights off in the living room,iot,33
light off living room,iot,33
play mf doom anything,play,48
can i get some background music,play,48
how many alarms are listed,alarm,0
what's the alarm situation for tomorrow,alarm,0
turn off eight am alarm,alarm,1
cancel my eight am alarm,alarm,1
get rid of my eight am alarm,alarm,1
light color change,iot,31
change light color,iot,31
change color of lights,iot,31
how many birthday's are on twenty third,datetime,13
is it second Saturday on twelfth,datetime,13
is there christmas on twenty second,datetime,13
what is the date,datetime,13
play one through ten on list,play,48
please play artist first in queue,play,48
turn off one light on porch,iot,33
please turn off the light,iot,33
turn the lamp off,iot,33
what is the time in the pacific time zone,datetime,13
what is the time in the eastern time zone,datetime,13
what is the time in alaska,datetime,13
please turn on the music i want to hear my favorites songs,play,48
can i hear the fifty hits that you can hear on radios now,play,48
please turn on classic music for the dinner now,play,48
please i want to hear we will rock you from queen,play,48
can you turn on the hit song of lady gaga,play,48
i want to hear my favorite song from iron maiden,play,48
set mute for twenty minutes,audio,4
play playlist number seven,play,48
start playlist,play,48
play songs from my playlist,play,48
what day of the week is thanksgiving,datetime,13
what is the last day of the month,datetime,13
what day of the month is fat Tuesday,datetime,13
what time is it eastern,datetime,13
what is the time central,datetime,13
what is the current mountain time,datetime,13
please play the radio gaga song,play,48
please let me hear six hundred and sixty six the number of the beast,play,48
play the last hit song of metallica last album please,play,48
start vacuum,iot,29
begin vacuum,iot,29
please start vacuum cleaner,iot,29
remind me to play this song tonight,play,48
please play me a song from my favourite list,play,48
play me a song,play,48
play me a song of adele,play,48
can you turn on the vacuum cleaner,iot,29
can you tell me what alarms i have set,alarm,0
do i have any alarms set for today,alarm,0
i need to set an alarm how many do i have set,alarm,0
turn off the room lights,iot,33
turn off room lights,iot,33
control lights turn off room lights,iot,33
can locate some gospel music,play,48
can you locate some gospel music for me,music,43
i want to listen to some gospel music,play,48
what is time now in california,datetime,13
time now in new york,datetime,13
current time in japan,datetime,13
order two hamburgers for me,takeaway,61
place order of one pizza,takeaway,61
can you tell me what date it is,datetime,13
can you tell me what time it is,datetime,13
can you tell me what time is it,datetime,13
what time is it now,datetime,13
display current time,datetime,13
give me date,datetime,13
give me time,datetime,13
turn on the tv socket when i arrive home,iot,37
keep me updated on stock market prices,qa,55
can you play my last song,play,48
play the song by michael jackson,play,48
play the song from last night at six pm,play,48
what is the time now in new york,datetime,13
give me the time at washington right now,datetime,13
who is singing that song on now,music,43
what is the name of that song that just went off,music,43
what alarms are set for today,alarm,0
today how many alarms do i have set,alarm,0
i want to hear radio head please,play,48
play madonna now,play,48
i want to hear chopin now,play,48
hello,general,23
play the latest song adele,play,48
i want to hear the songs of adele,play,48
play enrique iglesias song after this one,play,48
play the latest songs by senelena gomez after this one,play,48
turn the lights off,iot,33
play music i have liked,play,48
play songs from the r and b and soul genre,play,48
play all the latest pop songs,play,48
play all the list of country songs,play,48
play happy playlist next,play,48
i want to hear sleeptime playlist next,play,48
listen to rock playlist next,play,48
play me song my travel playlist,play,48
play song from my trance list,play,48
don't talk until i ask you to,audio,4
mute yourself until i say otherwise,audio,4
turn on the wemo plug socket to connect my charger to it,iot,37
turn on the wemo plug socket to plug in my dongle,iot,37
find me the song currently playing,music,43
what is name of the song currently playing,music,43
i want to know about this song,music,43
play boogie in your butt by eddie murphy,play,48
i want to hear snow by red hot chili peppers,play,48
listen to girl from impanema by frank sinatra,play,48
play slow down the song,play,48
play let me love you by ariana grande,play,48
play love songs,play,48
stream all songs from rock,play,48
add shape of you to the current queue,play,48
hey how are you,general,23
confirm alarm for tomorrow morning,alarm,0
what time is the alarm set for tomorrow,alarm,0
confirm my alarm settings,alarm,0
can i order take out food at this time,takeaway,61
mute sound on speakers please,audio,4
hey olly mute the speakers,audio,4
what day of the month is it,datetime,13
play new gaga playlist,play,48
start new lady gaga playlist,play,48
play lady gaga starting with poker face,play,48
go to pandora find twenty one pilots radio play please,play,48
google music find me some enya to listen to,play,48
play bob dylan playlist,play,48
play newest bob dylan playlist,play,48
play new bob dylan album,play,48
remove wake up calls for this week,alarm,1
cancel wake up calls for this week,alarm,1
stop wake up calls for this week,alarm,1
order takeout pizza from domino's for seven pm,takeaway,61
place order to pizza takeout for seven pm,takeaway,61
schedule pizza takeout for seven pm,takeaway,61
start the robot roomba,iot,29
turn the robot vacuum cleaner on,iot,29
what alarms are set right now,alarm,0
are there any alarms set right now,alarm,0
play r and b music,play,48
play r and b,play,48
r and b music,play,48
my set alarms,alarm,0
alarm settings,alarm,0
my alarms,alarm,0
robot vacuum the living room now,iot,29
robot do the whole house now,iot,29
robot vacuum the hallway now,iot,29
turn off light in bedroom,iot,33
switch the light off in bedroom,iot,33
play jars of clay's if i left the zoo,play,48
play crystal lewis's beauty of the cross for me,play,48
play kari jobe for me,play,48
order food,takeaway,61
grubhub order,takeaway,61
what time is it in miami florida,datetime,13
what time is it in cleveland ohio,datetime,13
what time is it in honolulu,datetime,13
tell me what time it is right now,datetime,13
give me the current time,datetime,13
what time are we looking at right now,datetime,13
play some tunes for me,play,48
play some good background music,play,48
play some calming music for me,play,48
play some christian music,play,48
i want to hear some tunes,play,48
play music now,play,48
turn off the alarm for tomorrow morning,alarm,1
turn off the six am alarm for Wednesday,alarm,1
turn off any morning alarms after Friday,alarm,1
make the house lights amber at six pm,iot,31
turn the lights blue at three pm,iot,31
make a jars of clay playlist for me,play,48
find new music from jars of clay for me,play,48
make a playlist of music from artists on the exodus cd,play,48
can you turn on the vacuum,iot,29
will you have the vacuum start cleaning,iot,29
please set the vacuum to start going now,iot,29
what time is it in new york,datetime,13
what time is it right now in new york,datetime,13
please tell me the current time in new york,datetime,13
please turn lights off,iot,33
turn the lights off to my room,iot,33
please tell me what time it is,datetime,13
remove my morning alarm,alarm,1
please delete my morning alarm,alarm,1
please remove my alarm,alarm,1
play music from my favorite pandora artist station,play,48
play music from a given artist,play,48
who sings this song,music,43
what is the name of this song,music,43
name the singer,music,43
change the volume of the speakers,audio,5
open up and play music from my jogging playlist,play,48
play a song by paramore,play,48
phones,alarm,1
personal data assistants,alarm,1
what is the time in london right now,datetime,13
encourage the students,general,27
decentralized design,general,27
that song in the background is annoying,music,41
will you please mute my speakers,audio,4
sound off,audio,4
security devices to robotic vacuum cleaners to internet enabled refrigerators,iot,29
asking for this technology,iot,29
robot via bluetooth enabled devices,iot,29
what time is it in new york now,datetime,13
can you tell me what time is it in new york,datetime,13
what hour is it in new york now,datetime,13
can you please turn off the lights in this room,iot,33
please shut the lights,iot,33
change the color of the lights in my house from white to yellow,iot,31
change the color of my porch lights to green,iot,31
change the color of the lights in my bedroom to red,iot,31
when this song ends play hotel california,play,48
after this song ends i want to hear hotel california next,play,48
play irene from tobymac,play,48
i want to listen irene,play,48
look for irene and play it,play,48
turn the living room's light off,iot,33
turn this room light off,iot,33
could you turn the light off,iot,33
please turn on my smart plug socket,iot,37
remove my alarm for tomorrow morning,alarm,1
please turn off my alarm for this evening,alarm,1
play hopsin from my latest playlist,play,48
i want to hear metallica on my rock playlist,play,48
play creed from my rock playlist,play,48
is there any rap that doesn't involve sex money and drugs,music,43
in classic all music are there ever any singers,music,43
Is country better today or ten years ago,general,27
please show me today's date,datetime,13
can i have today's date,datetime,13
change the media room lights from purple to green,iot,31
play the music of justin bieber,play,48
play me the latest song of adele,play,48
is my work alarm set for tomorrow,alarm,0
what alarms do i have set for thursday,alarm,0
is my school alarm set,alarm,0
open the folder app please,takeaway,61
call the nearest thai restaurant with delivery,takeaway,61
what is the best pizza near me that delivers,takeaway,61
can you play the instrumentals of,play,48
can you play songs about breakups,play,48
i need a good cry can you play me sad rock songs,play,48
change the audio settings,audio,5
this song is not very good,music,41
do not play this song again,music,41
start the robot vacuum cleaner at one pm today,iot,29
i want the robot vacuum cleaner to start at one pm today,iot,29
at one pm today start the robot vacuum cleaner,iot,29
turn on the robot vacuum cleaner,iot,29
how do you turn on the robot vacuum cleaner,iot,29
does the robot vacuum cleaner have to be plugged in,iot,29
show volume settings,audio,5
where is volume setting,audio,5
need to see volume settings,audio,5
how do you activate the robot vacuum cleaner,iot,29
is there anything i need to know before i activate the robot vacuum cleaner,iot,29
should i be concerned about the robot vacuum cleaner upon startup,general,27
do not play rock metal,music,41
play top forty dance,play,48
enjoyment,play,48
sad,play,48
please stop for a bit,audio,4
please pause yourself,audio,4
get yourself muted,audio,4
play my morning playlist,play,48
play the pre gaming playlist,play,48
play my dance music playlist,play,48
what day of the week does the fifteenth of march fall on,datetime,13
how are you today,general,23
good morning,general,23
good afternoon,general,23
my desire is to listen to some country music,play,48
play madonnas like a virgin,play,48
play the footloose song,play,48
gather all my songs from madonna,play,48
coordinate all pop song genres,play,48
play the beyonc playlist,play,48
play kanye west playlist,play,48
play maroon five playlist,play,48
play lady by kenny roger,play,48
kenny roger's lady play,play,48
play lady by kenny rogers now,play,48
next play justin bieber's sorry,play,48
i want to hear tum hi ho next,play,48
get sia's cheap thrills ready to play next,play,48
today date,datetime,13
tell me the date,datetime,13
play all songs on shuffle,play,48
play the last album on a loop,play,48
play all my favorite songs,play,48
call eastwind and order lomaine to go,takeaway,61
place a take out order at olive garden,takeaway,61
order spaghetti from spaghetti warehouse to bring home,takeaway,61
is it the twenty ninth already,datetime,13
tell me what day of the week it is,datetime,13
play my sadness playlist,play,48
play something with three or more stars from new music,play,48
i need some rap,play,48
please turn on my vacuum cleaner,iot,29
activate the robot vacuum,iot,29
turn on the vacuum now,iot,29
whats the time in sydney now,datetime,13
time in new york now,datetime,13
what is the current time in lagos nigeria,datetime,13
start vacuum cleaner,iot,29
use vacuum cleaner in the hall,iot,29
remove dust with vacuum cleaner,iot,29
shut off the lights in the kitchen,iot,33
turn off the lights in the bedroom,iot,33
what is my current time,datetime,13
please play all the songs in high volume and make adjustments to pop music mode,play,48
play all songs by martina mcbride,play,48
play i walk the line by johnny cash,play,48
do i have any music by lady antebellum,music,43
play my playlist,play,48
please play this song,play,48
play the song for me,play,48
adjust sound,audio,5
give a pleasant sound,audio,5
comfortably adjust sound,audio,5
who sings the song about a long black train,music,43
what are the lyrics to the song i will always love you by Dolly parton,music,43
who wrote the song i just wanna dance with you,music,43
never ever play me any country,music,41
two am removed,alarm,1
twelve am removed,alarm,1
one pm removed,alarm,1
set a classic music,play,48
put a disco track,play,48
play a melody music,play,48
i need to hear notorious thugs by bone thugs now,play,48
play rein in blood by slayer at five am tomorrow to make sure i actually wake up,play,48
i'd love to hear any song that i've given five stars by serge gainsbourg,play,48
what is the current time in new york,datetime,13
present time in new york,datetime,13
play kenny rogers lady,play,48
play lady by kenny rogers,play,48
play lady now,play,48
disable alarm for three pm,alarm,1
disable my three pm alarm,alarm,1
cancel my three pm alarm,alarm,1
find me a nice restaurant for dinner,recommendation,57
can you suggest me a healthy foods for dinner,cooking,11
order a meal from a nice restaurant,takeaway,61
play believer,play,48
play imagine dragons,play,48
i want to listen to believer,play,48
i want blue lighting,iot,31
make the living room blue,iot,31
change the lighting to blue,iot,31
please play nightmare by avenged sevenfold,play,48
please play leviathan,play,48
please play hallowed be thy name,play,48
what will be day on fifteenth march,datetime,13
give me the date of monday on third week of this month,datetime,13
i want the date of last monday of this month,datetime,13
order me a large ham and olive pizza from dominos,takeaway,61
can you direct me to the menu for the highest rated chinese carryout near me,takeaway,61
give me options for indian carryout under dollars,takeaway,61
what is the time in new york now,datetime,13
can you please change the mood of the light,iot,31
please adjust the colors in my lights,iot,31
change the color of the light,iot,31
pandora,play,48
shazam,play,48
spotify,play,48
tell me what time it is,datetime,13
hello what time it is now,datetime,13
abhi kitna time ho raha hai,datetime,13
can you change the colour to red,iot,31
i like red colour for my home change it,iot,31
set the colour of light to red,iot,31
can you tell me today's date,datetime,13
tell me the current time,datetime,13
please give me the time,datetime,13
when is my alarm set for,alarm,0
how many alarms do i have,alarm,0
is my alarm set for tomorrow morning,alarm,0
tell me the current time in central time,datetime,13
your recipe of steak was superb,cooking,11
what day is it on fifth december,datetime,13
does it fall a sunday on fifth december,datetime,13
is there a national holiday on fifth december,datetime,13
hey,general,23
"ten million, twenty two thousand and seventeen",datetime,13
"fifteen million, twenty two thousand and seventeen",datetime,13
i want exact time in washington right now,datetime,13
what will be the time now in washington,datetime,13
can you tell me current time,datetime,13
i want to listen arijit's songs please tune that,play,48
mere favorite songs ko tune karo,play,48
on the plug,iot,37
start the smart plug,iot,37
hey what's today's date,datetime,13
can you tell me what the date is today,datetime,13
uh what does the current date happen to be,datetime,13
hey can you make it blue in here,iot,31
please change the lighting to blue,iot,31
make the lights blue in here,iot,31
play music for me,play,48
start music app and play a song for me,play,48
play a song of your choice for me,play,48
Please pause the song,audio,4
what's the name of this song,music,43
whose song is this,music,43
where can i find this song,music,43
what alarms do i have scheduled for tomorrow,alarm,0
what alarms are set in the morning,alarm,0
is the eighteenth a monday or a sunday,datetime,13
what day is easter,datetime,13
play old classic music,play,48
try to play old nineties classic music,play,48
fifty thousand two hundred and seventeenth,datetime,13
one hundred thousand two hundred and seventeenth,datetime,13
one hundred and fifty thousand two hundred and seventeenth,datetime,13
what is the time right now,datetime,13
can you tell me the current time,datetime,13
please change light color to purple,iot,31
switch to night light setting,iot,31
play closer music track,play,48
get set need me music track,play,48
play ride music track,play,48
turn on the socket,iot,37
make the socket available for me,iot,37
please turn off the light of the bathroom,iot,33
please turn off the light of my son's room,iot,33
turn off the light in my room after thirty minutes,iot,33
play music on shuffle,play,48
play song on repeat,play,48
what date is the third friday of this month,datetime,13
what day of the week is september twelve of this year,datetime,13
what was the date of two wednesdays back from today,datetime,13
hey what's up,general,23
time,datetime,13
what is the time now,datetime,13
how much in the clock,datetime,13
play taylor swift,play,48
play taylor swift music,play,48
please play some jazz,play,48
what are the top twenty jazz hits,play,48
play run,play,48
play sanam,play,48
play sholay,play,48
i want to order some food,takeaway,61
order some takeaway food,takeaway,61
places to order takeaway food,takeaway,61
please tell me the time,datetime,13
who sings that song,music,43
change my light color to yellow,iot,31
change the lights to blue,iot,31
i'd like some red lighting,iot,31
find and queue all songs of kate perry and play all without shuffling,play,48
play the latest song of eminem,play,48
volume control please,audio,5
tell me the time in canberra,datetime,13
what time is it in atlanta,datetime,13
what alarms do i got,alarm,0
let me see my alarms,alarm,0
what alarms do i have,alarm,0
download the latest folk songs having rating of four star or above and play all without shuffle,play,48
play the latest rock songs having rating of four or above,play,48
shut up,audio,4
silence,audio,4
be quiet,audio,4
make a playlist of all songs of eminem and play with shuffle,play,48
play music of kate perry without shuffle,play,48
show me the best podcast of folk songs having good rating and play it,play,48
when is halloween,datetime,13
what day of the week is the first of march,datetime,13
when is easter in the year two thousand and eighteen,datetime,13
turn the lights on,iot,34
adjust the light,iot,31
remove the alarm for tomorrow,alarm,1
change the alarm weekly settings,alarm,1
set the alarm off,alarm,1
please send a reminder email to peter and ask him how long he will be taking to prepare the presentation ppt,email,17
order a large pepperoni pizza from dominos to go,takeaway,61
i would like to pickup a veggie sub with a cookie from subway,takeaway,61
place a takeaway order for a cheeseburger and fries from burger king,takeaway,61
play slayer,play,48
music on,play,48
play kiss from a rose,play,48
mute speakers,audio,4
choose a brighter color for reading,iot,31
can you make a red shade of light in the living room,iot,31
what alarms did i set,alarm,0
review the alarms i have,alarm,0
list all the alarms,alarm,0
play anything from metallica,play,48
play the last song from my most recent playlist,play,48
play jazz from jennifer's latest album,play,48
play the latest songs by dalida,play,48
play the new record of malika,play,48
what song do i listen to the most,music,43
what music genre do i listen to the most,music,43
recommend songs based on my playlist,music,43
i would like to listen to celine dion,play,48
play some tracks by michael jackson,play,48
turn off living room lights,iot,33
turn on hall lights,iot,34
turn on all upstairs lights,iot,34
turn the left light off,iot,33
turn on the wemo plug,iot,37
switch on the wemo plug,iot,37
make the wemo plug socket turned on,iot,37
set mute mode for one hour,audio,4
do not make any noise until morning alarm,audio,4
quiet mode on until i am home from work,audio,4
change the light colour to green,iot,31
show me the available colours of lights,iot,31
which is the song playing now,music,43
who sang the song that is currently playing,music,43
when was the song playing now released,music,43
order a pizza with sausage from domino's,takeaway,61
order a ham and cheese sandwich from subway,takeaway,61
play country music,play,48
play some boy band music,play,48
i want to listen to soft rock,play,48
play songs by nkotb,play,48
i want to listen to george strait,play,48
play my killers playlist please,play,48
show me the current time in germany,datetime,13
i want to listen to up beat music,play,48
play the billboard top ten,play,48
play my summer jams playlist,play,48
turn on wemo,iot,37
switch on smart plug,iot,37
turn off the lights in the living room,iot,33
turn off the lamps,iot,33
turn off the upstairs lights,iot,33
play me something pop,play,48
suggest me some metal music,music,43
let's listen to some jazz,play,48
play music from the playlist,play,48
shuffle and play the playlist,play,48
run the vacuum cleaner,iot,29
activate the vacuum,iot,29
start the vacuum cleaner,iot,29
play hip hop music please,play,48
i want to listen to heavy metal please,play,48
put on some techno music please,play,48
what is the current date today,datetime,13
what is the current day month and year,datetime,13
what is today's current date,datetime,13
mukkala mukkabilla,play,48
ennavale adi ennavale,play,48
can you play lovely song,play,48
i wan to play me a justin bieber song,play,48
play me some melody song,play,48
what time is it in dallas,datetime,13
can you tell me the current time in dallas texas,datetime,13
tell me what time it is in dallas texas,datetime,13
start roomba,iot,29
please turn on roomba,iot,29
can you start the roomba,iot,29
play music from v. t. v,play,48
play songs from titanic,play,48
play list of music from avatar,play,48
check whether i have set any alarms for tomorrow morning,alarm,0
what time is the alarm set for tomorrow morning,alarm,0
is the alarm set for tomorrow morning,alarm,0
please provide current time in india,datetime,13
tell me current time in los angels,datetime,13
tell me present time in malaysia,datetime,13
whats the current time at new york,datetime,13
tell me current time at new york,datetime,13
new york time please,datetime,13
time constrain,iot,33
explanation of the song,music,43
am or pm,alarm,0
selection of restaurants,takeaway,61
price,takeaway,61
free home delivery,takeaway,61
show me my alarms,alarm,0
how many alarms do i have set,alarm,0
what times do my alarms go off,alarm,0
change house light colors to blue,iot,31
change the light in the bathroom to yellow,iot,31
do i have any alarms set,alarm,0
are there any alarms going off today,alarm,0
can you tell me if i have any alarms set,alarm,0
all lights has to be turned off during the day,iot,33
turn all lights off during the day,iot,33
during the daytime all lights has to be turned off,iot,33
show me all scheduled alarms,alarm,0
how many alarms are currently set,alarm,0
i want to see all set alarms,alarm,0
go near vacuum cleaner,iot,29
take it in hand,iot,29
switch on the vacuum cleaner,iot,29
select and play only christian rock from one thousand nine hundred and ninety upwards,play,48
only christian rock from one thousand nine hundred and ninety upwards is to be selected and played,play,48
christian rock from one thousand nine hundred and ninety upwards only should be selected and played,play,48
play only all music released between the year one thousand nine hundred and ninety and two thousand,play,48
all music released between one thousand nine hundred and ninety and two thousand is only to played,play,48
remove alarm of seven thirty am on monday,alarm,1
remove tuesday alarm of nine am,alarm,1
what music is currently playing on,music,43
nine hundred and ninety nine fm is currently playing what music,music,43
what music is playing now nine hundred and ninety nine fm,music,43
i want to find some good rock music,play,48
who is the artist of the current song playing,music,43
who is the artist of the song playing now,music,43
the song playing now is released by which artist,music,43
I don't like that song turn it off,music,41
start my robot vacuum cleaner by ten to eleven am daily,iot,29
by ten to eleven am daily start my vacuum cleaner,iot,29
my vacuum cleaner should start between ten to eleven am everyday,iot,29
what time is time,datetime,13
can you please tell me the time,datetime,13
please turn off only middle left side light,iot,33
turn off the upstairs bathroom light,iot,33
can you shut off my bedroom light,iot,33
i want the light in the kitchen powered off,iot,33
checkout domino centre near me and order cheese pizza,takeaway,61
checkout subway food centre near me and order tandoori roti,takeaway,61
checkout top restaurant near me and order shahi panner,takeaway,61
checkout today set alarm of ten am,alarm,0
checkout today alarm of meeting,alarm,0
play the rock music for me,play,48
i want to hear country music,play,48
change the genre from rock to classic,play,48
who is the artist that sings this song,music,43
please tell me the name of this song that is currently playing,music,43
find and order domino pizza at nearest store of domino,takeaway,61
find and order handi paneer in pavitra,takeaway,61
find and order rasgulla of janta sweet home pvt ltd,takeaway,61
turn on when plugged in else turn off,iot,37
switch off the light on the left,iot,33
